iso_code;country;GID_1;gdlcode;region;sup_district;lon;lat;idh_1992;idh_2002;idh_2012;idh_2022;idh_vie_1992;idh_vie_2002;idh_vie_2012;idh_vie_2022;idh_rev_1992;idh_rev_2002;idh_rev_2012;idh_rev_2022;idh_edu_1992;idh_edu_2002;idh_edu_2012;idh_edu_2022;edu_esp_1992;edu_esp_2002;edu_esp_2022;edu_esp_2012;edu_moy_1992;edu_moy_2002;edu_moy_2012;edu_moy_2022;esp_vie_1992;esp_vie_2002;esp_vie_2012;esp_vie_2022;pib_hab_1992;pib_hab_2002;pib_hab_2012;pib_hab_2022;pop_1998;pop2014;pop2021;dens_pop_1998;dens_pop_2014;dens_pop_2021
CIV;Cote d'Ivoire;CIV.1_1;CIVr101;Abidjan;2257;-4.053;5.42;0.56;0.58;0.56;0.57;0.57;0.54;0.61;0.64;0.59;0.58;0.58;0.69;0.54;0.62;0.49;0.42;7.9;8.6;6.5;7.2;9.5;11.5;8.7;7.2;57.1;55.3;59.6;61.3;4840;4710;4650;9600;3133608;4707404;6321017;1388.4;2085.7;2800.6
CIV;Cote d'Ivoire;CIV.2_1;CIVr103;Bas-Sassandra;28230;-6.669;5.37;0.41;0.43;0.46;0.52;0.53;0.5;0.58;0.61;0.49;0.48;0.47;0.55;0.26;0.33;0.35;0.41;4.3;5.6;11.1;8.0;4.2;5.1;3.8;3.2;54.1;52.6;57.5;59.9;2590;2450;2200;3900;906326;1203052;1501336;32.1;42.6;53.2
CIV;Cote d'Ivoire;CIV.3_1;CIVr104;Comoé;14783;-3.306;6.06;0.38;0.42;0.48;0.58;0.48;0.48;0.6;0.68;0.49;0.49;0.5;0.62;0.23;0.31;0.38;0.48;4.4;5.8;12.1;8.5;3.2;4.3;4.3;4.2;51.4;51.0;58.9;63.9;2510;2520;2720;5860;219615;289779;436015;14.9;19.6;29.5
CIV;Cote d'Ivoire;CIV.4_1;CIVr105;Denguélé;21212;-7.375;9.66;0.33;0.35;0.38;0.44;0.46;0.43;0.47;0.49;0.53;0.52;0.51;0.6;0.15;0.2;0.24;0.29;3.4;4.3;8.2;6.0;1.7;2.3;2.1;2.0;49.8;47.9;50.8;51.6;3280;3130;2850;5240;1034479;1605286;2088440;48.8;75.7;98.5
CIV;Cote d'Ivoire;CIV.5_1;CIVr106;Gôh-Djiboua;16404;-5.612;5.98;0.42;0.45;0.48;0.55;0.5;0.49;0.57;0.62;0.45;0.45;0.47;0.59;0.34;0.41;0.41;0.46;6.3;7.7;11.9;9.3;4.8;5.8;4.6;3.9;52.7;51.6;57.3;60.4;1980;2010;2240;4890;885119;1258604;1488531;54.0;76.7;90.7
CIV;Cote d'Ivoire;CIV.6_1;CIVr107;Lacs;27252;-4.441;7.07;0.39;0.42;0.46;0.54;0.54;0.51;0.57;0.59;0.47;0.47;0.47;0.57;0.23;0.31;0.38;0.48;4.8;6.4;13.0;9.2;3.0;3.9;3.6;3.4;55.0;53.2;56.8;58.1;2240;2200;2220;4380;1145986;1478047;2042623;42.1;54.2;75.0
CIV;Cote d'Ivoire;CIV.7_1;CIVr108;Lagunes;19671;-4.324;5.85;0.46;0.48;0.5;0.57;0.5;0.48;0.58;0.64;0.49;0.49;0.49;0.59;0.39;0.47;0.45;0.48;6.8;8.2;12.3;9.8;6.0;7.1;5.2;4.2;52.2;51.3;57.8;61.6;2620;2550;2490;4830;1470838;2371920;3027023;74.8;120.6;153.9
CIV;Cote d'Ivoire;CIV.8_1;CIVr109;Montagnes;29734;-7.645;6.93;0.38;0.4;0.43;0.49;0.46;0.44;0.51;0.55;0.44;0.44;0.44;0.54;0.27;0.33;0.35;0.41;5.1;6.5;11.3;8.5;3.8;4.6;3.4;2.8;50.1;48.7;53.3;55.6;1850;1810;1810;3480;1625907;2293304;2720876;54.7;77.1;91.5
CIV;Cote d'Ivoire;CIV.9_1;CIVr110;Sassandra-Marahoué;24006;-6.331;7.08;0.41;0.43;0.45;0.51;0.54;0.51;0.56;0.58;0.45;0.45;0.46;0.57;0.28;0.34;0.35;0.41;5.0;6.4;11.4;8.4;4.1;4.9;3.5;2.8;54.9;53.0;56.5;57.8;2010;2000;2080;4210;929550;1607497;2159434;38.7;67.0;90.0
CIV;Cote d'Ivoire;CIV.10_1;CIVr111;Savanes;39189;-5.549;9.56;0.41;0.42;0.43;0.47;0.53;0.5;0.56;0.57;0.48;0.48;0.47;0.56;0.27;0.31;0.3;0.32;5.1;6.2;9.2;7.4;3.7;4.3;2.8;2.0;54.7;52.7;56.1;57.3;2440;2350;2230;4180;1074443;1440826;1964929;27.4;36.8;50.1
CIV;Cote d'Ivoire;CIV.11_1;CIVr112;Vallée du Bandama;26631;-4.924;8.27;0.44;0.47;0.49;0.55;0.49;0.48;0.56;0.61;0.5;0.5;0.5;0.6;0.35;0.42;0.42;0.46;7.1;8.6;12.3;10.0;4.6;5.6;4.3;3.5;51.9;50.9;56.7;59.9;2800;2740;2720;5400;502744;845139;1184813;18.9;31.7;44.5
CIV;Cote d'Ivoire;CIV.12_1;CIVr113;Woroba;31687;-6.719;8.36;0.2;0.24;0.33;0.42;0.44;0.42;0.48;0.52;0.4;0.41;0.43;0.55;0.04;0.08;0.17;0.27;0.9;1.8;7.7;4.5;0.6;1.0;1.4;1.6;48.5;47.2;51.5;53.5;1450;1490;1720;3790;248034;335573;422072;7.8;10.6;13.3
CIV;Cote d'Ivoire;CIV.13_1;CIVr102;Yamoussoukro;1262;-5.291;6.8;0.62;0.64;0.6;0.62;0.71;0.66;0.67;0.64;0.62;0.61;0.58;0.66;0.55;0.64;0.56;0.56;9.1;10.7;13.5;11.5;8.9;10.4;7.2;5.5;66.3;62.9;63.4;61.8;6020;5560;4590;7990;1477938;2280548;2687176;1171.1;1807.1;2129.3
CIV;Cote d'Ivoire;CIV.14_1;CIVr114;Zanzan;38997;-3.345;8.68;0.32;0.35;0.41;0.49;0.44;0.44;0.56;0.64;0.45;0.45;0.45;0.55;0.17;0.22;0.27;0.34;3.3;4.4;9.4;6.6;2.2;2.8;2.5;2.3;48.6;48.3;56.3;61.4;1990;1960;1980;3910;712085;934352;1344865;18.3;24.0;34.5
